FR,AF,Bioenergy,EA,EP,IAfodder,IAfood,IP,MW,NWCons,PNB,PNC,PNNB,PNNC,SusAr,VEP,Urban,UNMANAGED
AF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bioenergy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IAfodder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IAfood,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NWCons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PNB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PNC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PNNB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PNNC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SusAr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VEP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UNMANAGED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Urban,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
