FR,AF,Bioenergy,EA,EP,IAfodder,IAfood,IP,MW,NWCons,PNB,PNC,PNNB,PNNC,SusAr,VEP,Urban,UNMANAGED
AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IAfodder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IAfood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NWCons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PNNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PNNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SusAr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UNMANAGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Urban,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
