,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0.4,0.2,0.5,0.5,0.75,0,0,0,1,0,0,0,0,0,0.05
Fodder.crops ,0.4,0.2,0.5,0.5,0.75,0,0,0,1,0,0,0,0,0,0.05
GF.redMeat,0.4,0.2,0.5,0.5,0,0.45,0.45,0,1,0,0,0,0,0,0.1
Fuel ,0.4,0.2,0.5,0.5,0,0,0,0.6,1,0,0,0,0,0,0.1
Softwood,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.1
Hardwood,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.1
Biodiversity,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.25
Carbon,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.6
Recreation,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.5
Flood.reg,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.4
Employment,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.6
Ldiversity,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,1
GF.milk,0.4,0.2,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.1
