,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,0.9,0,0.7
Biodiversity,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.8
Carbon,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.8
Recreation,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.5
Flood.reg,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.5
Employment,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.8
Ldiversity,0.15,0.08,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0.5
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
