,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioeneergy.suit,AgroForestry.suit,NNConifer.suit,Nconifer.suit,NNBroadleaf.suit,Nbroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0.8,0.8,0.5,0.5,0,0,0.95,0,0,0,0,0,0,0,1
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5
Carbon,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5
Recreation,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5
Flood.reg,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5
Employment,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5
Ldiversity,0.8,0.8,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.2
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
