,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioeneergy.suit,AgroForestry.suit,NNConifer.suit,Nconifer.suit,NNBroadleaf.suit,Nbroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.1
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.8
Carbon,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.8
Recreation,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.8
Flood.reg,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.8
Employment,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.1
Ldiversity,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0,0.8
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
