,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.9
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
Carbon,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
Recreation,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
Flood.reg,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
Employment,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
Ldiversity,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.2
GF.milk,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0
Sus.Prod,0.08,0.08,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0.5
