,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,Nbroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0.5,0.5,1,1,0,0,0,1,0,0,0,0,0,0,1
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Carbon,0.5,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0.5
Recreation,0.5,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0.1
Flood.reg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Employment,0.5,0.5,1,1,0,0,0,1,0,0,0,0,0,0,1
Ldiversity,0.5,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0.1
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
