Year,Food.crops,Fodder.crops,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,GF.milk
2020,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7727.79509754154,5054.4045868575,6559.3906954556,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,5716.28557648654
7610.754,7844.3073085661,5211.15386146878,5896.15944824859,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,5156.65222571189
7610.754,7961.64224970883,5363.2147044517,5247.08657446071,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,4605.19231818416
7610.754,8057.17941297824,5275.90371579307,4972.73122467281,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,4359.89644967761
7610.754,8143.06955740421,5144.27957624458,4774.41469723824,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,4177.85736494533
7610.754,8212.94357783729,5051.28532457543,4489.84216204823,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3924.34862394645
7610.754,8278.84322447781,4848.37871229219,4384.87966250347,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3819.32788342203
7610.754,8352.14043267728,4737.74180533335,4147.95076579179,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3606.82900621771
7610.754,8424.87490933674,4630.5526439171,3916.88533959128,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3400.0284998428
7610.754,8473.63914883661,4527.90567469906,3689.41321654806,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3197.05086515918
7610.754,8463.46656176494,4301.11973245505,3664.35668854018,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3160.97760319291
7610.754,8482.99097697542,4312.03052899964,3415.59340588254,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,2949.93328008566
7610.754,8502.06517803304,4324.03318332831,3461.37827539457,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,2996.20562587777
7610.754,8520.59385546545,4337.49347998454,3506.03054968678,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3041.63897737909
7610.754,8537.31115061359,4353.3101146378,3547.01304416835,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,3084.09048669985
