"","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP3",2020,7108.98681792,4554.99035961,12372.0521346,280.578262413,1109.24071014,1089.16609959,24668.9508417,25009.9191624,23526.6290967,21518.1669849,19821.5680833,22997.9215707,6991.80987438
"2","SSP3",2021,7218.31154705691,4704.38265592931,11258.727858514,254.416808531697,1111.55511813077,1091.43862231759,24720.4221016619,25062.1018457696,23575.7169257704,21563.0641989684,19862.9253785581,23045.9062623614,7006.39814227828
"3","SSP3",2022,7327.14225848187,4850.27690640704,10156.4806889818,228.692288516476,1113.86952612154,1093.71114504519,24771.8933616238,25114.2845291393,23624.8047548408,21607.9614130368,19904.2826738162,23093.8909540227,7020.98641017656
"4","SSP3",2023,7436.74145849084,4991.80740324042,9070.33183573429,203.516924413219,1116.18393411231,1095.98366777278,24823.3646215856,25166.4672125089,23673.8925839111,21652.8586271052,19945.6399690743,23141.8756456841,7035.57467807484
"5","SSP3",2024,7525.97997997028,4910.5427767826,8587.20002026077,192.875598757012,1118.49834210308,1098.25619050038,24874.8358815475,25218.6498958785,23722.9804129815,21697.7558411736,19986.9972643324,23189.8603373455,7050.16294597312
"6","SSP3",2025,7606.20749809968,4788.03372382636,8228.65801126032,185.183564491704,1120.81275009384,1100.52871322797,24926.3071415094,25270.8325792482,23772.0682420519,21742.6530552421,20028.3545595905,23237.8450290068,7064.7512138714
"7","SSP3",2026,7671.47481460655,4689.1555281317,7776.7342890186,175.213534112607,1121.60587070516,1101.30748024836,24943.9457416736,25288.7149759125,23788.8900682621,21758.0388065919,20042.5272220718,23254.2888228997,7069.75044304777
"8","SSP3",2027,7733.02978265216,4512.62425307057,7522.50262281558,170.074804402574,1122.39899131647,1102.08624726874,24961.5843418378,25306.5973725768,23805.7118944724,21773.4245579418,20056.6998845532,23270.7326167925,7074.74967222414
"9","SSP3",2028,7801.49460057695,4385.98821942386,7194.7042107216,162.940062538261,1123.19211192778,1102.86501428913,24979.222942002,25324.4797692412,23822.5337206826,21788.8103092917,20070.8725470345,23287.1764106853,7079.74890140051
"10","SSP3",2029,7869.43378712541,4250.88521027205,6922.77300013047,157.052656872128,1123.98523253909,1103.64378130952,24996.8615421662,25342.3621659055,23839.3555468928,21804.1960606416,20085.0452095159,23303.6202045781,7084.74813057688
