"","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP3",2020,694.55618336,445.027793755,683.10786129,1208.7637143,27.4128187415,108.37409237,106.412779845,2410.18485235,2443.4978492,2298.57870485,2102.34964795,1936.58998515,2246.92337185
"2","SSP3",2021,705.237335057285,459.62359282068,621.637010950429,1096.05713506221,27.4700150255571,108.600212690937,106.634807927581,2415.21365361064,2448.59615734531,2303.37464217297,2106.73615737048,1940.63064043384,2251.61153138013
"3","SSP3",2022,715.870220656275,473.877628786895,560.777769621631,985.23291762368,27.5272113096141,108.826333011874,106.856836010162,2420.24245487129,2453.69446549062,2308.17057949594,2111.12266679095,1944.67129571767,2256.29969091027
"4","SSP3",2023,726.578188473243,487.705321006248,500.807377312218,876.774527580925,27.5844075936712,109.052453332812,107.078864092743,2425.27125613193,2458.79277363593,2312.9665168189,2115.50917621143,1948.71195100151,2260.9878504404
"5","SSP3",2024,735.296894594798,479.765673593702,474.131839770123,830.930461776788,27.6416038777283,109.278573653749,107.300892175324,2430.30005739257,2463.89108178124,2317.76245414187,2119.89568563191,1952.75260628535,2265.67600997053
"6","SSP3",2025,743.135215331578,467.796398304874,454.335377365478,797.792285536422,27.6988001617853,109.504693974686,107.522920257905,2435.32885865322,2468.98938992654,2322.55839146484,2124.28219505238,1956.79326156918,2270.36416950067
"7","SSP3",2026,749.511907174203,458.135884932408,429.382956860928,754.840237686823,27.7184006609009,109.582182770044,107.599006690931,2437.05217016351,2470.73652063513,2324.20190322101,2125.78540064404,1958.17794698403,2271.97074706491
"8","SSP3",2027,755.525898305096,440.888576449423,415.345863589517,732.701993769909,27.7380011600165,109.659671565402,107.675093123958,2438.77548167381,2472.48365134371,2325.84541497718,2127.2886062357,1959.56263239887,2273.57732462915
"9","SSP3",2028,762.214989711541,428.516090403481,397.246871620873,701.96469786427,27.757601659132,109.73716036076,107.751179556984,2440.4987931841,2474.2307820523,2327.48892673336,2128.79181182735,1960.94731781372,2275.18390219339
"10","SSP3",2029,768.852726328344,415.316371118534,382.232519461346,676.601071048049,27.7772021582476,109.814649156118,107.82726599001,2442.22210469439,2475.97791276088,2329.13243848953,2130.29501741901,1962.33200322857,2276.79047975763
"11","SSP3",2030,773.302942965419,402.503984444048,367.681544639123,651.96807904141,27.7968026573632,109.892137951476,107.903352423037,2443.94541620469,2477.72504346947,2330.7759502457,2131.79822301066,1963.71668864341,2278.39705732187
"12","SSP3",2031,772.374594308847,387.42161557515,351.743767955812,626.540980042552,27.7927473816841,109.87610578692,107.88761040241,2443.58886899566,2477.36356815045,2330.43591333063,2131.48721495722,1963.43020200586,2278.06466196375
"13","SSP3",2032,774.156389294066,381.275759492004,344.233262066778,612.425905279303,27.788692106005,109.860073622363,107.871868381784,2443.23232178664,2477.00209283143,2330.09587641556,2131.17620690377,1963.1437153683,2277.73226660563
"14","SSP3",2033,775.897097808258,382.763069080401,348.428252034843,618.496945209649,27.7846368303259,109.844041457806,107.856126361158,2442.87577457761,2476.64061751241,2329.75583950049,2130.86519885032,1962.85722873075,2277.39987124751
"15","SSP3",2034,777.588021924339,384.339424725078,352.625453223055,624.551759904659,27.7805815546468,109.828009293249,107.840384340532,2442.51922736858,2476.2791421934,2329.41580258542,2130.55419079688,1962.57074209319,2277.0674758894
"16","SSP3",2035,779.113639585112,385.979130076196,356.825209234668,630.57674593749,27.7765262789677,109.811977128692,107.824642319906,2442.16268015956,2475.91766687438,2329.07576567035,2130.24318274343,1962.28425545564,2276.73508053128
"17","SSP3",2036,779.867892177875,389.290206286069,361.033810809977,635.524782730302,27.7550671118326,109.727140257912,107.741340794093,2440.27595117846,2474.00485997791,2327.27640366144,2128.59743179395,1960.76826366525,2274.97615509457
"18","SSP3",2037,780.680509715839,392.712697429247,365.453739999471,640.596306824166,27.7336079446974,109.642303387132,107.658039268279,2438.38922219736,2472.09205308144,2325.47704165253,2126.95168084446,1959.25227187486,2273.21722965785
"19","SSP3",2038,781.367365354794,396.247312880035,370.01059815976,645.867247920562,27.7121487775623,109.557466516352,107.574737742466,2436.50249321626,2470.17924618498,2323.67767964361,2125.30592989498,1957.73628008447,2271.45830422114
"20","SSP3",2039,781.891572604955,399.920705798027,374.721454790082,651.3884236548,27.6906896104272,109.472629645572,107.491436216653,2434.61576423516,2468.26643928851,2321.8783176347,2123.66017894549,1956.22028829408,2269.69937878443
"21","SSP3",2040,782.271368428027,403.811792516862,379.650396337553,657.248470252524,27.669230443292,109.387792774792,107.40813469084,2432.72903525407,2466.35363239204,2320.07895562579,2122.01442799601,1954.70429650369,2267.94045334772
"22","SSP3",2041,779.712773472665,403.104362540047,382.417181960165,662.263947599248,27.6321415678104,109.241165269783,107.264160793863,2429.46811390485,2463.0476393702,2316.96903467338,2119.17000017387,1952.08413746439,2264.90042080159
