"","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP1",2020,8171.249216,4488.26613306384,8036.563074,14220.74958,322.5037499,1274.989322,1251.915057,28355.11591,28747.03352,27042.10241,24733.52527,22783.41159,26434.39261
"2","SSP1",2021,8451.19775850626,4448.14153188768,7805.13955165528,13754.6066625062,324.587614308302,1296.05996782708,1272.60437440562,28823.7163872088,29222.1108805922,27489.0038486778,24893.3414365344,22930.6270581204,26605.1989647545
"3","SSP1",2022,8695.64194534653,4298.71530874362,7502.05370706343,13287.8924121773,326.671478716605,1317.29538103251,1293.45547729313,29295.9812073504,29700.9032317862,27939.3999490304,25053.1576030689,23077.8425262408,26776.005319509
"4","SSP1",2023,8994.2357832251,4293.40941513418,7287.20138489979,12833.863909498,328.755343124907,1338.6955616163,1314.46836566253,29771.9103704249,30183.4105735821,28393.2907110578,25212.9737696033,23225.0579943611,26946.8116742635
"5","SSP1",2024,9248.91832470929,4137.0042765997,6987.33015750098,12377.6786310543,330.83920753321,1360.26050957845,1335.64303951383,30251.5038764322,30669.6329059798,28850.67613476,25372.7899361378,23372.2734624815,27117.6180290179
"6","SSP1",2025,9455.68932657415,3983.29474471069,6694.36405760723,11928.6330790278,332.923071941512,1381.99022491896,1356.97949884702,30734.7617253724,31159.5702289793,29311.5562201371,25532.6061026722,23519.4889306019,27288.4243837724
"7","SSP1",2026,9441.07473684386,3828.0595371254,6396.34500082696,11473.1156780882,334.910802810009,1403.48184909438,1378.0821758972,31212.7245475489,31644.1393386255,29767.3864705404,25685.0495755967,23659.9130048062,27451.3510418258
"8","SSP1",2027,9430.77129819994,3676.09831001321,6109.90130319501,11025.1170718665,336.898533678507,1425.13063954356,1399.33917488653,31694.182667947,32132.2520576667,30226.5501657006,25837.4930485212,23800.3370790105,27614.2776998791
"9","SSP1",2028,9424.07606258607,3526.96969527951,5830.39759567873,10584.9801652974,338.886264547004,1446.9365962665,1420.75049581502,32179.1360865668,32623.9083861032,30689.0473056178,25989.9365214458,23940.7611532148,27777.2043579324
"10","SSP1",2029,9432.23914055286,3589.61251433731,6051.69149638933,10951.4725879636,340.873995415501,1468.89971926321,1442.31613868268,32667.5848034081,33119.1083239347,31154.8778902918,26142.3799943703,24081.1852274191,27940.1310159857
"11","SSP1",2030,9440.22920048874,3661.56149807269,6304.78159278155,11372.4880044532,342.861726283998,1491.02000853368,1464.03610348949,33159.528818471,33617.8518711614,31624.0419197228,26294.8234672948,24221.6093016234,28103.057674039
"12","SSP1",2031,9570.77331492978,3797.30336263297,6592.45781790935,11775.8890459038,344.771773483966,1512.95656605373,1485.57566165223,33647.3867325841,34112.4528403311,32089.3090594111,26441.3092080093,24356.5453807439,28259.6169004147
"13","SSP1",2032,9699.45654993062,3929.2664281334,6873.25085534928,12167.5244790856,346.681820683934,1535.0441475408,1507.26351060849,34138.6033431319,34610.458929032,32557.779367559,26587.7949487237,24491.4814598645,28416.1761267903
"14","SSP1",2033,9828.07805931488,4058.35121093246,7151.19701264931,12548.9275425561,348.591867883902,1557.2827529949,1529.09965035827,34633.1786501144,35111.870137264,33029.4528441665,26734.2806894382,24626.4175389851,28572.7353531659
"15","SSP1",2034,9953.09572911617,4184.37326533431,7427.05359122103,12920.6179336087,350.501915083869,1579.67238241602,1551.08408090156,35131.1126535317,35616.6864650271,33504.3294892336,26880.7664301527,24761.3536181057,28729.2945795415
"16","SSP1",2035,10045.5162511538,4308.15478804134,7701.4008952109,13285.2145170446,352.411962283837,1602.21303580415,1573.21680223837,35632.4053533836,36124.9079123213,33982.4093027604,27027.2521708672,24896.2896972263,28885.8538059171
"17","SSP1",2036,10129.3604588092,4428.48901027428,7972.45372268046,13636.6370407319,354.302588566673,1624.81564971156,1595.41036275685,36135.0760237607,36634.5263761187,34461.8032784361,27172.2484785291,25029.853777576,29040.8211743733
"18","SSP1",2037,10215.8283810467,4546.7617538185,8242.23951365233,13983.6385040237,356.193214849508,1647.56775200929,1617.75070628244,36641.0712401257,37147.5153369811,34944.367853497,27317.2447861911,25163.4178579256,29195.7885428295
"19","SSP1",2038,10396.7300903887,4662.87530627736,8508.74739949696,14323.4234204091,358.083841132343,1670.46934269737,1640.23783281514,37150.3910024788,37663.8747949087,35430.1030279433,27462.241093853,25296.9819382753,29350.7559112857
"20","SSP1",2039,10583.729888623,4776.99508709961,8773.85123348006,14656.5926307787,359.974467415179,1693.52042177578,1662.87174235494,37663.0353108199,38183.6047499014,35919.0088017749,27607.237401515,25430.5460186249,29505.7232797419
"21","SSP1",2040,10801.1916463446,4889.22978777935,9038.02620150307,14984.5816629195,361.865093698014,1716.72098924453,1685.65243490185,38179.0041651489,38706.7052019593,36411.0851749917,27752.233709177,25564.1100989746,29660.6906481981
"22","SSP1",2041,10969.1689970278,4999.10629665122,9298.30690019387,15302.0362481864,363.746009522283,1740.02459390887,1708.53429991693,38697.2645144528,39232.1288214857,36905.3469330957,27896.4853003127,25696.9881799388,29814.8620876946
"23","SSP1",2042,11137.1761645994,5107.46067957792,9558.01686628484,15614.8958675114,365.626925346553,1763.47691917521,1731.56219404591,39218.8323345212,39760.9056268443,37402.7630060477,28040.7368914484,25829.866260903,29969.033527191
"24","SSP1",2043,11296.6377825422,5147.60556878585,9630.46314722328,15654.6557181451,367.507841170822,1787.07796504355,1754.73611728878,39743.7076253544,40293.035618035,37903.3333938479,28184.9884825841,25962.7443418672,30123.2049666875
"25","SSP1",2044,11292.4322938795,5086.35174953543,9377.78060905423,15196.657066598,369.388756995091,1810.82773151388,1778.05606964556,40271.8903869521,40828.5187950579,38407.0580964962,28329.2400737198,26095.6224228314,30277.376406184
"26","SSP1",2045,11287.4304352681,5024.92312860325,9127.47793027172,14747.8873971133,371.26967281936,1834.7262185862,1801.52205111624,40803.3806193146,41367.3551579128,38913.9371139927,28473.4916648555,26228.5005037956,30431.5478456805
"27","SSP1",2046,11368.3480446469,4868.83646766484,8792.64169840777,14296.48259429,373.086499617093,1858.4541798676,1824.82059290598,41331.0784445689,41902.3466959184,39417.1993357856,28612.8281269179,26356.8509888158,30580.4661540428
"28","SSP1",2047,11521.321094211,4716.23160994359,8469.70125953502,13854.0708512936,374.903326414825,1882.32579434793,1848.26018811446,41861.9710441138,42440.5771656184,39923.5083944814,28752.1645889803,26485.2014738359,30729.3844624052
"29","SSP1",2048,11662.1719157956,4589.4085578692,8174.26905989639,13422.601520035,376.720153212558,1906.34106202718,1871.84083674169,42396.0584179491,42982.0465670126,40432.8642900801,28891.5010510427,26613.551958856,30878.3027707676
"30","SSP1",2049,11839.6737154212,4529.0483701355,7937.14693122434,13003.1412278365,378.53698001029,1930.49998290537,1895.56253878766,42933.3405660749,43526.7549001012,40945.2670225817,29030.8375131051,26741.9024438762,31027.2210791299
"31","SSP1",2050,12017.7492919956,4470.25054933078,7703.80197112395,12591.9839193707,380.353806808023,1954.8025569825,1919.42529425238,43473.8174884912,44074.7021648841,41460.7165919861,29170.1739751676,26870.2529288963,31176.1393874923
"32","SSP1",2051,12058.8061994426,4423.58109716736,7477.17004859803,12173.9557277586,382.037600323398,1978.55980938917,1942.75259706791,44002.1667335167,44610.3541264287,41964.6000688718,29299.3078208203,26989.2052223356,31314.1534691066
"33","SSP1",2052,12104.5206454015,4401.53477628697,7269.41292669271,11764.9776780623,383.721393838774,2002.45019629448,1966.21062496527,44533.4768222727,45149.0078557755,42471.3072845012,29428.441666473,27108.1575157749,31452.1675507209
"34","SSP1",2053,12147.2558702387,4374.90419268939,7058.87320107896,11361.945565518,385.40518735415,2026.47371769842,1989.79937794445,45067.7477547591,45690.6633529245,42980.8382388744,29557.5755121257,27227.1098092142,31590.1816323352
"35","SSP1",2054,12184.403333382,4341.04514305712,6844.27910172345,10965.0188331703,387.088980869526,2050.630373601,2013.51885600547,45604.979530976,46235.3206178758,43493.1929319913,29686.7093577784,27346.0621026535,31728.1957139495
"36","SSP1",2055,12222.9451548341,4324.62390542672,6694.84740865676,10674.542062192,388.772774384901,2074.92016400221,2037.36905914831,46145.1721509233,46782.9796506292,44008.371363852,29815.8432034311,27465.0143960928,31866.2097955638
"37","SSP1",2056,12613.3045891256,4301.7938330097,6496.09626024624,10288.3083380759,390.306055792502,2098.53383998879,2060.55538393442,46670.3283291807,47315.3944116028,44509.2096322885,29933.4339429269,27573.3336990574,31991.8869783025
"38","SSP1",2057,12933.9912296194,4315.17915385856,6426.92193737838,10116.0266161944,391.839337200101,2122.26874975469,2083.86074845767,47198.1806852065,47850.5426162671,45012.6192291427,30051.0246824226,27681.6530020221,32117.5641610413
"39","SSP1",2058,13252.046441872,4343.42371713794,6414.75744993736,10033.1642139722,393.372618607701,2146.12489329991,2107.28515271806,47728.7292190006,48388.424264622,45518.6001544148,30168.6154219184,27789.9723049867,32243.24134378
"40","SSP1",2059,13558.6715799813,4360.12203954398,6459.05243801075,10067.9548227557,394.905900015301,2170.10227062445,2130.8285967156,48261.9739305632,48929.0393566678,46027.1524081045,30286.2061614142,27898.2916079513,32368.9185265188
"41","SSP1",2060,13557.7161811804,4353.81217893868,6423.29491591463,9982.50596482059,396.439181422901,2194.20088172831,2154.49108045028,48797.9148198941,49472.3878924042,46538.2759902121,30403.7969009099,28006.6109109159,32494.5957092575
"42","SSP1",2061,13489.0165259656,4327.60124084375,6573.26200481332,10262.8943085148,397.772427384038,2217.3056676013,2177.17772481981,49311.7535401091,49993.3287681452,47028.3208674181,30506.0464799648,28100.79862654,32603.8767554261
"43","SSP1",2062,13430.9340526797,4300.97166248541,6716.51542124905,10536.4189078789,399.105673345175,2240.51587081375,2199.96787872644,49827.9366884914,50516.6464761773,47520.6016115763,30608.2960590197,28194.9863421641,32713.1578015948
"44","SSP1",2063,13158.7785531195,4274.22612559089,6853.54325784357,10803.7017358374,400.438919306311,2263.83149136566,2222.86154217019,50346.4642650408,51042.3410165002,48015.1182226868,30710.5456380746,28289.1740577882,32822.4388477634
"45","SSP1",2064,12961.33166568,4207.64641265842,6824.64802033477,10844.8571966141,401.772165267448,2287.25252925704,2245.85871515104,50867.3362697574,51570.412389114,48511.8707007495,30812.7952171295,28383.3617734123,32931.7198939321
"46","SSP1",2065,12685.2068102168,4117.29090659784,6719.41097081492,10739.661875097,403.105411228585,2310.77898448787,2268.95939766901,51390.5527026412,52100.8605940187,49010.8590457645,30915.0447961844,28477.5494890363,33041.0009401007
"47","SSP1",2066,12723.930409279,4088.92586120563,6846.0150716765,10988.3961954181,404.275521485809,2333.4692414346,2291.2390150969,51895.1725097646,52612.455135063,49492.1119013571,31004.7831375982,28560.2124149846,33136.9103797462
"48","SSP1",2067,12694.768168692,4082.58768636141,6823.2041473032,10917.8701370283,405.445631743034,2356.25201687663,2313.60947665605,52401.8498813029,53126.1356796839,49975.3270436777,31094.5214790119,28642.8753409329,33232.8198193916
"49","SSP1",2068,12556.5099455723,4069.5811731706,6725.00666091553,10709.1324712629,406.615742000259,2379.12731081397,2336.07078234646,52910.5848172559,53641.9022278812,50460.5044727262,31184.2598204257,28725.5382668812,33328.7292590371
"50","SSP1",2069,12356.0238273569,4017.31383680883,6648.78206217692,10600.7047449248,407.785852257484,2402.0951232466,2358.62293216813,53421.3773176237,54159.7547796551,50947.6441885027,31273.9981618395,28808.2011928296,33424.6386986826
"51","SSP1",2070,12361.6601916411,3912.40547162905,6479.1232238749,10385.675947532,408.955962514709,2425.15545417454,2381.26592612106,53934.2273824062,54679.6933350054,51436.746191007,31363.7365032533,28890.8641187778,33520.548138328
"52","SSP1",2071,12116.9377737651,3770.44318134315,6196.62646720954,9986.04969029143,409.842527381801,2430.41288485165,2386.4282098455,54051.1499743571,54798.2320029737,51548.2545592188,31431.7291221005,28953.4958626706,33593.2164523498
"53","SSP1",2072,11828.0868758617,3630.06427376933,5913.16892335555,9591.73882216663,410.729092248893,2435.67031552875,2391.59049356994,54168.0725663081,54916.7706709421,51659.7629274306,31499.7217409476,29016.1276065634,33665.8847663717
"54","SSP1",2073,11524.9687807172,3496.83572723458,5654.75588174034,9232.50422924288,411.615657115985,2440.92774620585,2396.75277729438,54284.995158259,55035.3093389104,51771.2712956423,31567.7143597947,29078.7593504562,33738.5530803935
"55","SSP1",2074,11204.31698243,3408.25727998192,5554.79093010892,9123.22249000944,412.502221983078,2446.18517688295,2401.91506101882,54401.91775021,55153.8480068787,51882.7796638541,31635.7069786419,29141.391094349,33811.2213944153
"56","SSP1",2075,10934.37486183,3360.96851143385,5484.00466556592,9015.71235753792,413.38878685017,2451.44260756005,2407.07734474326,54518.8403421609,55272.386674847,51994.2880320659,31703.699597489,29204.0228382417,33883.8897084372
"57","SSP1",2076,10903.7088335647,3405.72241213993,5573.60389741323,9104.41099805002,414.025792932112,2455.22012620647,2410.78649931416,54602.8504410873,55357.5579412076,52074.4079548993,31752.5530016114,29249.0243979281,33936.1026481943
