"ID","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"1","SSP3",2020,8186.423704,5195.649612,8079.997423,14264.19784,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"2","SSP3",2021,8312.31767130681,5366.05393014957,7352.90242017659,12934.186916361,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"3","SSP3",2022,8437.64274765759,5412.0738146751,6897.59412907068,12090.096305006,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"4","SSP3",2023,8563.85278459719,5337.86089096427,6708.62390038004,11717.4916219506,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"5","SSP3",2024,8666.61628188034,5200.48311444275,6491.37747022769,11349.7533696871,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"6","SSP3",2025,8759.00306961105,5053.17711655584,6273.03630546449,10989.4277645867,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"7","SSP3",2026,8834.1622899941,4909.23930244291,6046.26886690873,10604.292425919,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"8","SSP3",2027,8905.04651898681,4738.35955637559,5811.32637784029,10227.6710446013,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"9","SSP3",2028,8983.88785358272,4595.26025776224,5593.75110795282,9861.47607869468,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"10","SSP3",2029,9062.12389219638,4456.33174089668,5382.32955602271,9505.15787159965,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"11","SSP3",2030,9114.57660925296,4321.48104521604,5177.43296561156,9159.10391025054,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"12","SSP3",2031,9103.63457802523,4160.81481882995,4953.00839502858,8801.89401962014,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"13","SSP3",2032,9124.63580017561,4097.23401789828,4847.25073891847,8603.59991674244,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"14","SSP3",2033,9145.15275443178,4110.57859190518,4906.32163663865,8688.88826582539,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"15","SSP3",2034,9165.08292220969,4124.97812178321,4965.4236746689,8773.94868729105,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"16","SSP3",2035,9183.06469658678,4140.13933389435,5024.56168484767,8858.59004088838,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"17","SSP3",2036,9191.95473522172,4175.32548884882,5083.82424818672,8928.10200172571,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"18","SSP3",2037,9201.53269541335,4211.71628633974,5146.06258569669,8999.34877430435,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"19","SSP3",2038,9209.62835623774,4249.30138702436,5210.22906107171,9073.39703533877,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"20","SSP3",2039,9215.80695310483,4288.36472795834,5276.56402999512,9150.96067940245,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"21","SSP3",2040,9220.2834369418,4329.77187319315,5345.9699150591,9233.28491391005,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"22","SSP3",2041,9190.12642028378,4318.38459391678,5384.92984463339,9303.74431703212,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"23","SSP3",2042,9170.56703200827,4346.58834133593,5445.23304700054,9381.15188224304,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"24","SSP3",2043,9149.36583189965,4377.57217175382,5509.48847506719,9465.03972958947,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"25","SSP3",2044,9127.47973921111,4414.29740801461,5578.67254804191,9554.87322267215,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"26","SSP3",2045,9103.60820136806,4450.81369083495,5650.2051773076,9651.13062578048,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"27","SSP3",2046,9071.65172691567,4495.97674519602,5722.9295577132,9738.17101775572,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"28","SSP3",2047,9034.56363369654,4543.09617985329,5798.05807671203,9830.05617320633,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"29","SSP3",2048,8996.9407459761,4590.46863745102,5875.54029088018,9927.39384680967,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"30","SSP3",2049,8945.3727684749,4626.86114431066,5948.65813484028,10028.9771733149,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"31","SSP3",2050,8891.2998599302,4658.79202215288,6020.97620449547,10135.1499626826,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"32","SSP3",2051,8820.42669898235,4707.68191078498,6096.45731842184,10227.8800578922,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"33","SSP3",2052,8747.29410146504,4758.62968711976,6175.61044373708,10325.2385572244,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"34","SSP3",2053,8674.05393434025,4789.7629755944,6208.97790005501,10347.0776146854,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"35","SSP3",2054,8595.20677101067,4757.72915115076,6098.54807431502,10134.5441622003,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"36","SSP3",2055,8516.412352809,4724.07232526828,5982.08935849787,9913.57911384361,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
