Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP2,2020,21767.26,14112.409,25826.372,40108.118,1016.888,5689.984,2058.497,44946.914,46121.937,42349.649,36148.207,55500.994,34846.585,9696.828
SSP2,2021,22316.02754,14282.29422,24170.08709,37506.74778,1033.205974,5769.842916,2087.388002,45577.74386,46769.25831,42603.20064,36510.0885,55833.28408,35055.21504,9852.432732
SSP2,2022,22879.3016,14515.68475,22413.55496,34739.70492,1049.645712,5850.246895,2116.476195,46212.87935,47420.9978,42856.75229,36873.70139,56165.57416,35263.84508,10009.19858
SSP2,2023,23436.84169,14618.83096,20887.13091,32361.53963,1066.207214,5931.195939,2145.761578,46852.32046,48077.15548,43110.30393,37239.04566,56497.86425,35472.47512,10167.12555
SSP2,2024,23990.80875,14492.39628,19970.95333,30917.75652,1082.89048,6012.690047,2175.244153,47496.06721,48737.73135,43363.85558,37606.12131,56830.15433,35681.10516,10326.21363
SSP2,2025,24374.92725,14236.27059,19382.62956,29983.2441,1099.695511,6094.72922,2204.923918,48144.11958,49402.7254,43617.40722,37974.92835,57162.44441,35889.7352,10486.46284
SSP2,2026,24736.65372,13972.87611,18780.46517,29028.07096,1116.179482,6174.863692,2233.91461,48777.12615,50052.28032,43853.56078,38330.25995,57471.93356,36084.04955,10643.65049
SSP2,2027,25098.62334,13714.17169,18186.95043,28087.56756,1132.776862,6255.505828,2263.088961,49414.1429,50705.95027,44089.71433,38687.20412,57781.4227,36278.36391,10801.91958
SSP2,2028,25461.55141,13460.87269,17601.91701,27162.54084,1149.487652,6336.655627,2292.446973,50055.16984,51363.73523,44325.86788,39045.76088,58090.91185,36472.67827,10961.27012
SSP2,2029,25826.65371,13212.82603,17027.0745,26254.9577,1166.31185,6418.31309,2321.988645,50700.20697,52025.63522,44562.02143,39405.93022,58400.401,36666.99262,11121.7021
SSP2,2030,26188.83906,13065.15294,16689.11437,25701.99293,1183.249458,6500.478215,2351.713978,51349.25429,52691.65023,44798.17498,39767.71213,58709.89015,36861.30698,11283.21553
SSP2,2031,26485.56099,13497.00702,17384.68357,26592.49944,1199.846991,6580.663839,2380.723175,51982.66492,53341.61977,45017.31421,40115.94479,58997.08132,37041.62144,11441.48609
SSP2,2032,26786.47912,13745.6112,18006.00048,27462.85984,1216.549764,6661.320551,2409.902799,52619.79681,53995.40786,45236.45345,40465.67385,59284.2725,37221.9359,11600.76017
SSP2,2033,27056.57349,13915.30819,18578.17361,28318.48359,1233.357774,6742.448349,2439.252852,53260.64996,54653.01449,45455.59269,40816.8993,59571.46367,37402.25035,11761.03779
SSP2,2034,27321.97686,14088.25287,19145.28887,29167.27597,1250.271022,6824.047235,2468.773332,53905.22437,55314.43967,45674.73192,41169.62116,59858.65485,37582.56481,11922.31893
SSP2,2035,27517.47463,14333.73288,19750.27842,30013.2911,1267.289509,6906.117208,2498.464241,54553.52005,55979.68339,45893.87116,41523.83941,60145.84603,37762.87927,12084.60361
SSP2,2036,27824.31648,14750.91827,20443.07411,30840.67742,1284.174497,6987.359272,2527.855632,55195.27582,56638.21623,46104.43928,41871.76982,60421.80439,37936.14115,12245.61527
SSP2,2037,28121.48442,15171.24186,21152.17731,31674.03856,1301.160608,7069.053998,2557.410785,55840.6073,57300.41827,46315.0074,42221.1381,60697.76275,38109.40303,12407.59121
SSP2,2038,28379.29685,15515.04129,21820.6265,32513.6972,1318.24784,7151.201386,2587.1297,56489.5145,57966.2895,46525.57551,42571.94425,60973.72111,38282.66491,12570.53143
SSP2,2039,28561.99996,15676.07203,22374.29879,33359.04653,1335.436195,7233.801435,2617.012377,57141.99741,58635.82992,46736.14363,42924.18827,61249.67948,38455.92679,12734.43593
SSP2,2040,28751.38232,15891.7085,22966.36429,34220.02175,1352.725671,7316.854146,2647.058816,57798.05603,59309.03953,46946.71175,43277.87015,61525.63784,38629.18867,12899.30471
SSP2,2041,28948.58582,16227.40961,23647.51471,35087.58722,1358.734017,7400.038311,2677.152811,58455.15305,59983.31468,47469.60126,43631.09605,61798.91374,38800.76635,13064.57068
SSP2,2042,29066.08516,16376.19196,24191.03202,35961.33254,1364.742364,7483.670737,2707.408977,59115.79102,60661.22335,47995.27102,43985.74583,62072.18964,38972.34403,13230.79156
SSP2,2043,29176.61232,16536.68014,24746.10636,36855.42347,1370.75071,7567.751425,2737.827313,59779.96994,61342.76554,48523.7211,44341.81951,62345.46554,39143.92171,13397.96734
SSP2,2044,29270.0056,16676.84914,25233.40994,37652.71129,1376.759056,7652.280375,2768.407819,60447.68982,62027.94126,49054.95147,44699.31709,62618.74144,39315.4994,13566.09802
SSP2,2045,29341.63103,16552.5705,24885.71639,37108.31482,1382.767402,7737.257586,2799.150495,61118.95065,62716.75051,49588.96208,45058.23855,62892.01734,39487.07708,13735.18361
