Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2020,18292.6998802395,11853.8750299401,21773.4561377245,33566.8626946108,836.198502994012,4832.87778443114,1753.61002994012,38238.6680538922,39220.3032934132,36031.0795209581,30826.0240718563,46560.3995209581,29897.9450598802,8082.53095808383
SSP3,2021,18574.012047133,12242.6524974565,19814.1273953846,30437.0481322026,837.943214037662,4842.96148443938,1757.26890106552,37705.3570178867,38673.3014768398,36106.2576328811,30890.3419403303,46657.54684296,29480.9612892272,7969.80467325116
SSP3,2022,18854.0530137426,12622.3266689803,17874.2931597216,27359.5059812582,839.687925081313,4853.04518542391,1760.92777219093,37169.4928855038,38123.6810366439,36181.4357350248,30954.6598088044,46754.6941553193,29061.9813063899,7856.53873966937
SSP3,2023,19136.0714352144,12990.6446432459,15962.7901871567,24347.661856485,841.432636030444,4863.12888543216,1764.58664429551,36631.0756567437,37571.4419532772,36256.6138469478,31018.9776772784,46851.8414773213,28641.0051113684,7742.73315650492
SSP3,2024,19365.6981794396,12779.1621549724,15112.5311230571,23074.5913239757,843.177347074095,4873.21258544041,1768.24551542092,36090.1053316062,37016.5842365138,36331.7919588707,31083.2955359505,46948.9887993233,28218.0327238866,7628.38792375781
SSP3,2025,19572.1379913177,12460.3454459313,14481.5364772612,22154.3580321074,844.922058117745,4883.29628642494,1771.90438654632,35546.5819100914,36459.1078765794,36406.9700610144,31147.6134044246,47046.1361116826,27793.0641242207,7513.5030430951
SSP3,2026,19740.0825191164,12203.0255256506,13686.2002388528,20961.5976375758,845.519950273914,4886.75185305982,1773.15823920211,34953.0968569148,35850.3873072776,36432.7327237619,31169.6543917897,47079.4273630576,27329.0316454031,7388.05773791783
SSP3,2027,19898.4745130291,11743.6217704559,13238.7803695173,20346.8278655852,846.117842335564,4890.20741871842,1774.4120918579,34358.7368788511,35240.7693528338,36458.4953865093,31191.6953693528,47112.7186144327,26864.3151037548,7262.42750228561
SSP3,2028,20074.6467835061,11414.0650384021,12661.8910809805,19493.2660121472,846.715734491733,4893.66298535329,1775.66594451369,33763.5019954578,34630.2540230223,36484.2580492568,31213.7363567179,47146.0098754504,26398.9144795519,7136.61233536492
SSP3,2029,20249.4665110226,11062.4739149404,12183.321941304,18788.9287101423,847.313626553383,4897.11855198818,1776.91979716949,33167.3921871774,34018.8413276173,36510.0207022249,31235.777334281,47179.3011268255,25932.8297727944,7010.61223632225
SSP3,2030,20366.6729815914,10721.1998795797,11719.5225465923,18104.8808250156,847.911518709552,4900.57411862306,1778.17364982528,32570.4074637887,33406.5312470703,36535.7833649724,31257.8183216461,47212.5923782005,25466.0609933443,6884.4272059911
SSP3,2031,20342.2228277099,10319.4620145556,11211.5200760543,17398.7809243863,847.787816812434,4899.85917423969,1777.91423115654,31945.357563028,32765.4355228838,36530.4531619216,31253.2581119557,47205.7045324234,24977.3486924852,6752.31002115979
SSP3,2032,20389.1504041077,10155.7594118519,10972.1293810645,17006.8112026599,847.664115009835,4899.14422888004,1777.65481346698,31320.4886768259,32124.5254511071,36525.1229588709,31248.6979120673,47198.8166866463,24488.7779201665,6620.23109754324
SSP3,2033,20434.9958843163,10195.3757731143,11105.8409573304,17175.4014345784,847.540413207235,4898.42928449668,1777.39539577742,30695.8008149611,31483.8010512886,36519.7927460409,31244.1377121788,47191.9288408692,24000.3486763884,6488.19043597496
SSP3,2034,20479.5301738977,10237.3639915172,11239.6230123643,17343.5411110076,847.416711404636,4897.71433913703,1777.13597808786,30071.2939578762,30843.2623234283,36514.4625429902,31239.5775024884,47185.0409950922,23512.0609710127,6356.18803562145
SSP3,2035,20519.7107515046,10281.0396049404,11373.4865060845,17510.8524491008,847.293009602036,4896.99939475366,1776.8765603983,29446.9681251286,30202.9092479778,36509.1323399394,31235.0173026,47178.1531493151,23023.9147941775,6224.22389731621
SSP3,2036,20539.5756840978,10369.2342782743,11507.6319439479,17648.2573669492,846.638420782405,4893.21614474759,1775.50380858012,28804.7612007974,29544.216062227,36480.9266686828,31210.8862305624,47141.704969429,22521.7878046398,6088.48022231256
SSP3,2037,20560.9778010557,10460.3966404872,11648.5132546339,17789.0914683321,845.983832057291,4889.43289571779,1774.13105578275,28163.5121643221,28886.5053368302,36452.7209974262,31186.7551487228,47105.256789543,22020.4097595626,5952.93901509166
SSP3,2038,20579.0676840174,10554.5455665678,11793.7590645329,17935.4632936832,845.32924323766,4885.649646688,1772.75830396457,27523.2210059239,28229.7770913358,36424.5153261696,31162.6240766852,47068.808609657,21519.7806688078,5817.60027648705
SSP3,2039,20592.8738670839,10652.391007112,11943.9134352354,18088.7840358573,844.674654512546,4881.86639668192,1771.3855511672,26883.8877256028,27574.0313159695,36396.309654913,31138.4930046477,47032.3604201284,21019.9005126514,5682.46400566518
SSP3,2040,20602.8766400748,10756.0349986425,12101.019068775,18251.5150743852,844.020065692914,4878.08314765213,1770.01279934902,26245.5123331376,26919.2680107314,36368.1039836564,31114.3619228081,46995.9122402424,20520.7693108175,5547.53020262607
SSP3,2041,20535.4902841445,10737.1917064652,12189.2079020103,18390.7927839347,842.888709566202,4871.54438122836,1767.64020747861,25593.6181718488,26250.6389023257,36319.3548086397,31072.6550630095,46932.9171527483,20011.0680838114,5409.73893040787
SSP3,2042,20491.7845094737,10809.9592385072,12325.7088986408,18543.8050143531,841.757353344972,4865.00561578088,1765.26761560821,24943.3795637868,25583.707838067,36270.6056336231,31030.9482032109,46869.9220748968,19502.6613039966,5272.2975928943
SSP3,2043,20444.4100747972,10889.6853947504,12471.1560376864,18709.6268556504,840.625997123741,4858.46684935712,1762.8950237378,24294.7965089517,24918.4748277296,36221.8564683858,30989.2413434122,46806.9269874027,18995.5489615111,5135.20618925183
SSP3,2044,20395.5052367272,10983.1219951728,12627.7595984298,18887.2014739734,839.494640997029,4851.92808390964,1760.52243284658,23647.8689975646,24254.9398713134,36173.1072933692,30947.5344836136,46743.9318999086,18489.7310563549,4998.46472198104
SSP3,2045,20342.1638854212,11076.6368181823,12789.6792525749,19077.4743557409,838.363284775798,4845.38931846216,1758.14984097617,23002.5970394043,23593.1029590443,36124.3581183526,30905.8276336169,46680.9368124145,17985.2075786661,4862.07318858135
SSP3,2046,20270.7566163811,11189.2023941139,12954.2965583602,19249.5278632293,836.595379638253,4835.17156607694,1754.44232897278,22341.9810684349,22915.5281393305,36048.1806000809,30840.6547233754,46582.4980205347,17468.6869758094,4722.43838062768
SSP3,2047,20187.8826573174,11306.6719141533,13124.3558076446,19431.1580485165,834.827474500708,4824.95381271544,1750.7348159902,21683.9521261273,22240.6067494005,35972.0030720298,30775.4818229359,46484.0592382975,16954.1891038635,4583.35039555719
SSP3,2048,20103.8136824717,11425.2045932716,13299.7428467246,19623.5662614393,833.059569457681,4814.73606033023,1747.0273039868,21028.5102222602,21568.3388185772,35895.8255537581,30710.3089126944,46385.6204464177,16441.7139825523,4444.8092342034
SSP3,2049,19988.5841837899,11518.8366922336,13465.2507645885,19824.3669252992,831.291664320136,4804.51830794501,1743.31979198341,20375.655347055,20898.7243370864,35819.6480354864,30645.1360122549,46287.1816545379,15931.2616020137,4306.81489489928
SSP3,2050,19867.7573700505,11602.5972011002,13628.9483384413,20034.2395720853,829.523759182591,4794.30055555979,1739.61227998001,19725.3875102903,20231.7632951536,35743.4705074353,30579.9631020134,46188.742862658,15422.8319721099,4169.36737931186
SSP3,2051,19709.3901141255,11724.1271704864,13799.8057139853,20217.5399881296,827.150230555752,4780.58255208861,1734.63470104204,19063.7486031779,19553.1392763972,35641.1971844471,30492.4642035536,46056.5823326581,14905.5115471019,4029.51635294345
SSP3,2052,19545.9741063311,11850.8272551118,13978.9749714851,20409.9893827688,824.776702023431,4766.86454959372,1729.65712308325,18405.5829538567,18878.0776746205,35538.9238712381,30404.9653050938,45924.4218026581,14390.9067915715,3890.39947295824
SSP3,2053,19382.3177411179,11924.8273577036,14054.5048276307,20453.1588552765,822.403173396591,4753.14654612254,1724.67954512446,17750.8905721055,18206.578509372,35436.6505482498,30317.466406634,45792.2612726581,13879.0177055185,3752.01673768916
SSP3,2054,19206.1324399711,11831.4255432577,13804.5383055949,20033.0421085868,820.029644864271,4739.42854362764,1719.70196618649,17099.6714481454,17538.6417611033,35334.3772252615,30229.9674983723,45660.1007330155,13369.8442889429,3614.3681496368
SSP3,2055,19030.0650040826,11733.4439034988,13540.9249311716,19596.2585796901,817.656116237431,4725.71054015646,1714.7243882277,16451.9256015342,16874.2674493628,35232.1039120525,30142.4685999125,45527.9402030156,12863.3865319829,3477.4537071341
SSP3,2056,18905.2939543699,11770.8743383273,13545.0721216576,19542.2589314308,814.710466785384,4708.68591756982,1708.54700259792,15796.5600599754,16202.0778495078,35105.1783865081,30033.8787659414,45363.9233838859,12350.9711147887,3338.9286869568
SSP3,2057,18628.2070956745,11633.6333980246,13248.8841254536,19089.2378682947,811.764817238819,4691.66129498318,1702.36961696814,15145.5049844317,15534.3093652294,34978.2528609636,29925.2889221684,45199.9065743989,11841.9259624594,3201.3147726354
