Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2020,1787.21780439122,1158.13721556886,2127.29169161677,3279.52106786427,81.6975548902196,472.177714570858,171.329715568862,3735.96182135729,3831.86871257485,3520.27788423154,3011.73798403194,4549.0045508982,2921.06359780439,789.672564870259
SSP3,2021,1814.70232603322,1196.12122050538,1935.86302212329,2973.73458848039,81.8680151664461,473.162903719454,171.687191505923,3683.85671955388,3778.42600686347,3527.62287154856,3018.02191369917,4558.49595532287,2880.32380416524,778.659077271666
SSP3,2022,1842.06265061251,1233.21582439144,1746.33898682479,2673.05518159044,82.0384754332208,474.148092770421,172.044667442984,3631.50217830017,3724.7274577829,3534.96785984352,3024.3058433664,4567.98736071181,2839.38897806315,767.592865369996
SSP3,2023,1869.61617491581,1269.20091396434,1559.58294917511,2378.79454883193,82.2089357094474,475.133281919016,172.402143380045,3578.8981956404,3670.77306435571,3542.31284716055,3030.58977303363,4577.47876513648,2798.25912048431,756.473929083814
SSP3,2024,1892.05097197636,1248.53883077794,1476.511661359,2254.41409479378,82.379395976222,476.118471067611,172.759619317106,3526.04477353034,3616.56282755932,3549.65783447757,3036.87370172067,4586.97016956115,2756.93423142872,745.30226841312
SSP3,2025,1912.22037887288,1217.39007230363,1414.86275893849,2164.50624469315,82.5498562524486,477.103660118578,173.117095254167,3472.9419109921,3562.0967464163,3557.0028217946,3043.1576313879,4596.46157398582,2715.41431089639,734.077883520786
SSP3,2026,1928.62875193431,1192.24962048864,1337.15749465625,2047.97218319162,82.6082709983411,477.441272966432,173.239598100973,3414.95773873662,3502.62404672349,3559.519863591,3045.31106101894,4599.71416825357,2670.07780517274,721.82173301496
SSP3,2027,1944.10383152177,1147.36534547815,1293.44405875662,1987.90846899588,82.6666857442336,477.778885814286,173.362100947779,3356.88808646048,3443.06367284146,3562.03690538741,3047.46449064998,4602.96676155705,2624.67446417129,709.547514591123
SSP3,2028,1961.31606457777,1115.16727473247,1237.08131200836,1904.51449576032,82.7251004901262,478.116498564512,173.484603794586,3298.73295318581,3383.41562379281,3564.55394718381,3049.61791930082,4606.21935486052,2579.20428789202,697.255228167837
SSP3,2029,1978.39615369775,1080.81641739864,1190.32455775104,1835.69993137328,82.7835152360187,478.454111412365,173.607106543474,3240.49233989049,3323.67989957751,3567.07098800228,3051.77134893186,4609.47194912827,2533.66727633493,684.944873663668
SSP3,2030,1989.84736050358,1047.47355204135,1145.01082356219,1768.86766684504,82.8419299819112,478.791724260219,173.72960939028,3182.16624657451,3263.85650117301,3569.58802979869,3053.9247785629,4612.72454243175,2488.06343048623,672.616451160051
SSP3,2031,1987.4585518328,1008.22330087193,1095.37839893691,1699.88089439162,82.8298441795866,478.721873295882,173.704264041229,3121.09815282203,3201.22071214071,3569.06726296885,3053.47924075566,4612.05159205985,2440.31567626255,659.708450343198
SSP3,2032,1992.04343117462,992.229368290702,1071.9896520393,1661.58500241498,82.8177583678101,478.652022331545,173.67891859426,3060.04774492827,3138.60306219137,3568.54649516108,3053.03370392862,4611.37864168795,2392.58175043546,646.804187691006
