Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2020,988.226315369262,640.381754491018,1176.26717065868,1813.38223752495,45.1739421157685,261.086500998004,94.735254491018,2065.7671247505,2118.79799401198,1946.50659481038,1665.31394411178,2515.33192814371,1615.17634231537,436.642477045908
SSP3,2021,1003.42363883935,661.384675077814,1070.41837669935,1644.30030206934,45.2681966195563,261.631252587446,94.9329176533364,2036.95606882734,2089.24732149965,1950.56794121033,1668.78858735573,2520.58011640458,1592.64963278695,430.552666256097
SSP3,2022,1018.55228903721,681.895808752751,965.622733703248,1478.04227703786,45.3624511233441,262.176004274516,95.1305808254466,2008.00708647967,2059.55518212481,1954.62928663234,1672.26323059969,2525.82830466545,1570.01508208068,424.433702028115
SSP3,2023,1033.78776754503,701.793446403009,862.357630714654,1315.33345701276,45.456705627132,262.720755863958,95.328243987765,1978.92017868534,2029.72157686488,1958.69063303229,1675.73787384364,2531.07649389059,1547.27269019656,418.285584316932
SSP3,2024,1046.19288989827,690.368529993644,816.424095309597,1246.55838224589,45.5509601309198,263.265507551028,95.5259071500834,1949.69534544437,1999.74650474244,1962.75197943223,1679.21251806779,2536.32468215146,1524.42245713459,412.108313122549
SSP3,2025,1057.34538622638,673.145098996279,782.33587865998,1196.84462997311,45.6452146347076,263.81025914047,95.7235703221937,1920.33258577887,1969.62996575748,1966.81332485425,1682.68716131175,2541.57287041233,1501.46438388096,405.901888535023
SSP3,2026,1066.41825139912,659.243907657621,739.369438432601,1132.40814762871,45.6775145503559,263.996939198388,95.7913071829399,1888.27074952782,1936.74506139394,1968.20510156217,1683.87788087943,2543.37136369063,1476.39596239613,399.124958255331
SSP3,2027,1074.97505954398,634.425543958913,715.198479638981,1099.19644781141,45.7098144754561,264.183619158678,95.8590440338943,1856.161647658,1903.81167764812,1969.59687729215,1685.06860044711,2545.16985600466,1451.29058629163,392.338037479797
SSP3,2028,1084.49241255331,616.621904596505,684.033196285391,1053.08448539304,45.7421143911044,264.370299216596,95.9267808946405,1824.00528016943,1870.82981549746,1970.98865302214,1686.2593200148,2546.96834928296,1426.14825359505,385.541126163393
SSP3,2029,1093.9366962505,597.627901282902,658.179461407398,1015.03407915729,45.7744143067526,264.556979274515,95.9945177553867,1791.80164706209,1837.79947396453,1972.38042875213,1687.45003958248,2548.76684256126,1400.96896430642,378.734224261087
SSP3,2030,1100.26854021828,579.191258039908,633.123632040144,978.079768409201,45.8067142224009,264.743659234804,96.0622546161329,1759.550748336,1804.72065402675,1973.77220448211,1688.64076013035,2550.56533487529,1375.75272039811,371.91733181791
SSP3,2031,1098.94766980287,557.488178004242,605.679820377734,939.934141695317,45.8000314874249,264.705035838509,96.0482400996352,1725.78368473168,1770.08674640262,1973.48425074792,1688.39440435773,2550.19323344947,1349.35102136351,364.779966660357
SSP3,2032,1101.48283830056,548.644473930329,592.747219283104,918.758765939371,45.793348742997,264.666412344585,96.0342255733457,1692.02639988371,1735.46286913033,1973.19629799166,1688.14804858511,2549.82113105939,1322.95696828232,357.644668487968
SSP3,2033,1103.95954748474,550.784668246007,599.970718256422,927.866514431095,45.7866659985692,264.627788948289,96.0202110470562,1658.27889476995,1700.84902220988,1972.90834425746,1687.90169281248,2549.44902963357,1296.57056115455,350.511437345774
SSP3,2034,1106.36542353177,553.052997087519,607.198024905017,936.949922036946,45.7799832635932,264.589165454366,96.0061965305585,1624.54116841253,1666.24520564127,1972.62039052327,1687.65533605966,2549.07692724349,1270.19179998019,343.380273188745
SSP3,2035,1108.53609840288,555.412484303842,614.429730735007,945.988580672061,45.7733005191653,264.550541960442,95.992182004269,1590.81322081144,1631.6514194245,1972.33243678907,1687.40898028704,2548.7048248534,1243.82068475925,336.25117606191
SSP3,2036,1109.60926148354,560.177024503824,621.676668138248,953.411604674395,45.737937673474,264.346159557301,95.9180218255014,1556.11928365487,1596.06684420173,1970.80868242723,1686.10534741186,2546.73578577129,1216.69428385763,328.91789706746
SSP3,2037,1110.76546731343,565.10188740912,629.287497798908,961.019883776544,45.7025748372345,264.14177715416,95.8438616369419,1521.47709372108,1560.535346176,1969.28492708746,1684.80171551687,2544.76674572491,1189.60834349139,321.595555987711
SSP3,2038,1111.74273760773,570.188093813872,637.134110287023,968.927327702667,45.6672119915432,263.937394653392,95.7697014581742,1486.88665198797,1525.05692339245,1967.76117272563,1683.49808264168,2542.7977066428,1162.56286366052,314.284152867691
SSP3,2039,1112.48858842163,575.473997019168,645.245898049375,977.210172361659,45.6318491553038,263.733012250251,95.6955412696147,1452.34795747764,1489.6315768285,1966.23741836379,1682.1944497665,2540.82866659642,1135.55784436503,306.983687662372
SSP3,2040,1113.02896807863,581.073155039154,653.733213800732,986.001389485092,45.5964863096125,263.528629749482,95.621381090847,1417.86101116798,1454.25930648415,1964.71366302402,1680.89081689132,2538.85962655004,1108.59328461872,299.694160371753
SSP3,2041,1109.38855535816,580.055184324372,658.497438099317,993.525587277595,45.5353670668893,263.175386130292,95.4932065952692,1382.64374039695,1418.13796375627,1962.0800870598,1678.63768793167,2535.4564438841,1081.05770144221,292.250264056517
SSP3,2042,1107.02743951717,583.986303504142,665.8716299426,1001.79176493313,45.4742478241662,262.822142413473,95.3650321094831,1347.51590710927,1382.10835447028,1959.44651109558,1676.38455799183,2532.05326121816,1053.59204723058,284.825272259807
SSP3,2043,1104.46813095497,588.293349122653,673.729119301816,1010.74995703402,45.4131285814431,262.468898794282,95.2368576236971,1312.4775122828,1346.17047960364,1956.81293513136,1674.13142903218,2528.65007855222,1026.19632297003,277.419184936593
SSP3,2044,1101.82614477277,593.341073142634,682.189311629288,1020.34306807891,45.35200933872,262.115655077464,95.1086831281193,1277.52855493969,1310.32433817889,1954.17935916714,1671.87830007254,2525.24689588628,998.870527674357,270.032002221964
SSP3,2045,1098.9444860306,598.393023711862,690.936695294143,1030.62217840279,45.2908900959969,261.762411458273,94.9805086423332,1242.66903605779,1274.56993019606,1951.54578320293,1669.62517111289,2521.84371322033,971.614662527001,262.663723980831
SSP3,2046,1095.08685136757,604.474152201404,699.829813895229,1039.91702261792,45.1953825788104,261.210417902703,94.7802177563356,1206.98058666924,1237.96531256638,1947.43044621127,1666.1043353039,2516.52575552026,943.710675559552,255.120234355748
SSP3,2047,1090.60975276273,610.820206652365,709.016922762392,1049.72922789731,45.0998750616238,260.658424347133,94.579926860546,1171.43189624415,1201.50404334545,1943.31510824168,1662.5835004751,2511.20779782018,915.915963201306,247.606285736998
SSP3,2048,1086.06809583404,617.223696390376,718.491854785399,1060.1236951253,45.0043675444372,260.106430889191,94.3796359745483,1136.02296576039,1165.18612057839,1939.19977125002,1659.0626656463,2505.8898401201,888.230525550881,240.121878169609
SSP3,2049,1079.84305312962,622.281982197479,727.433087331374,1070.97154698144,44.9088600272506,259.55443733362,94.1793450885507,1100.7537942401,1129.01154426521,1935.08443425836,1655.5418308175,2500.57188242003,860.654362509659,232.667011563524
SSP3,2050,1073.3156283703,626.806975330616,736.276519224745,1082.30949396935,44.813352510064,259.00244377805,93.979054202553,1065.62438266114,1092.98031636077,1930.96909628877,1652.02099500851,2495.25392471995,833.187474176259,225.241686008802
SSP3,2051,1064.76015516878,633.372387465432,745.506745341193,1092.21193059223,44.685127399795,258.261356306023,93.7101505381242,1029.88067156477,1056.31901776217,1925.44398572529,1647.29404276362,2488.11421758326,805.240279140067,217.686515618784
SSP3,2052,1055.93193430231,640.217104634217,755.186004353695,1102.60862188302,44.556902289526,257.520268736368,93.4412468834872,994.324596222896,1019.85017348502,1919.91887613973,1642.56709149892,2480.97451141084,777.439792425258,210.171006010388
SSP3,2053,1047.09072816565,644.214811394761,759.266352904089,1104.94076528043,44.4286771887088,256.779181264341,93.1723432288502,958.956157320024,983.573781574492,1914.39376557625,1637.84013925403,2473.83480427414,749.786014130449,202.695157093552
SSP3,2054,1037.57267194449,639.168966184391,745.762414073296,1082.2448037553,44.3004520784398,256.038093694686,92.9034395742132,923.775354367221,947.489842519282,1908.86865501277,1633.11318700914,2466.69509713745,722.278944255642,195.258969003367
SSP3,2055,1028.06098326785,633.875705112679,731.521232153345,1058.64845176299,44.1722269681708,255.297006222659,92.6345359195762,888.78218756006,911.598356612622,1903.34354444929,1628.38623476425,2459.55539000076,694.918582800836,187.862441649774
SSP3,2056,1021.32047759499,635.897809099804,731.745275755025,1055.73122978382,44.0130941814636,254.377285213269,92.3008150906421,853.377382538031,875.284665223088,1896.48664835412,1622.51988682593,2450.6947117206,667.236370790091,180.378906076976
SSP3,2057,1006.35141784561,628.483643371521,715.744314681898,1031.25767741162,43.8539613947565,253.45756420388,91.9670942714998,818.205441876521,839.209816039836,1889.62975225896,1616.65353986779,2441.83403344043,639.736230202331,172.944591165361
SSP3,2058,989.606008295509,616.666610996712,701.910922157452,1015.09475701584,43.6948286080493,252.537843194491,91.6333734425657,783.266365477745,803.373809258352,1882.77285616379,1610.78719192947,2432.97335419599,612.418160840319,165.559496959957
SSP3,2059,990.221189213582,610.742238949923,686.417721506373,990.025201026761,43.5356958118903,251.61812228273,91.2996526136316,748.560153537277,767.776644683149,1875.91596006862,1604.92084399114,2424.11267591583,585.282162901293,158.223623460763
SSP3,2060,990.19680186579,604.906098061677,670.816214864103,965.137891207558,43.3765630251831,250.69840127334,90.9659317944894,714.08680595733,732.418322411971,1869.05906495139,1599.05449605282,2415.25199763566,558.328236286633,150.936970622751
SSP3,2061,983.055725287757,611.981818830581,680.661472258085,976.11935036546,43.1937622002593,249.641888828735,90.5825761980024,679.474004608908,696.916966463426,1861.18233255129,1592.3156383315,2405.0734575275,531.265274017307,143.620841350586
SSP3,2062,975.739964321508,619.069711408657,690.580228744835,987.132029131479,43.0109613658837,248.585376481758,90.1992206113072,645.128701922416,661.689976118277,1853.30560112913,1585.57678061018,2394.89491741933,504.411462745458,136.36125344152
SSP3,2063,967.84501084835,626.194353541345,700.560583946107,998.154651728432,42.8281605315081,247.528864037152,89.8158650148202,611.050897702282,626.737351376524,1845.42886970696,1578.83792288886,2384.71637731117,477.766802569706,129.158206850527
SSP3,2064,959.804284169913,633.292663182206,710.564129307532,1009.13988563651,42.6453596971324,246.472351690175,89.4325094281251,577.240592144079,592.059092335909,1837.55213730687,1572.09906516754,2374.53783816727,451.331293391431,122.011701622633
