Year,Food.crops,Fodder.crops,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,GF.milk
2020,8186.42370369063,5195.64961237107,14264.19945263,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,8079.99450725559
2021,8312.31767443524,5366.05392867059,12934.1883763696,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,7352.89976756607
2022,8437.64274709608,5532.46820493242,11626.3904001012,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,6633.03931439274
2023,8563.85278786732,5693.90496127499,10346.5107260446,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,5923.69241405515
2024,8666.61628357397,5601.21046531976,9805.52088008221,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,5608.16655206472
2025,8759.00307122072,5461.47051625645,9414.46880765756,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,5374.00835835485
2026,8834.16228579315,5362.74233594516,8853.33211444274,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,5047.91821575035
2027,8905.04651670289,5147.32471451272,8646.36095001965,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,4912.82926745319
2028,8983.88785599704,5029.86605180742,8179.17075711524,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,4639.49042126394
2029,9062.12388995032,4916.06771615522,7723.54249830433,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,4373.48142257231
2030,9114.57661295671,4807.09164147642,7274.99973449672,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,4112.38981114258
2031,9103.63457534848,4566.32231096276,7225.59180941371,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,4065.98851151762
2032,9124.63579791909,4577.90585899264,6735.0658896703,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3794.52066233927
2033,9145.15275748616,4590.64858617502,6825.34716118273,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3854.04111316357
2034,9165.08291812582,4604.93882739534,6913.39511763273,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3912.48236686929
2035,9183.06469642165,4621.73069926045,6994.20677840812,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3967.08805510388
2036,9191.9547387597,4710.99092540899,6857.73360411757,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3904.91683602363
2037,9201.53269155486,4814.176985659,6674.66412148522,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3816.74539996876
2038,9209.62835230716,4917.5338829872,6499.10062413893,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3731.98557711088
2039,9215.80694954322,5020.36737416098,6335.45362898819,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3653.10397810231
2040,9220.28343379164,5124.49846628116,6181.26055302778,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3578.87984232698
2041,9190.12641810706,5031.41214357035,6566.83224738489,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3800.82609577516
2042,9170.56703101244,5081.17916177367,6564.81393759426,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3810.50486109563
2043,9149.36583250884,5133.24787816408,6571.23388542157,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3825.03626053308
2044,9127.47973551924,5197.9294862689,6557.57958547785,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3828.6820815132
2045,9103.60820299532,5252.95978089437,6586.40466773298,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3855.97517192934
2046,9071.65172631677,5352.3320744587,6470.57911274779,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3802.62893729164
2047,9034.56363608341,5447.61457242767,6382.99933774714,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3764.88014324066
2048,8996.94074732848,5536.05615931392,6328.097453296,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3745.29050996928
2049,8945.3727691703,5575.26271582275,6422.19676511646,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3809.30520596066
2050,8891.29985827504,5590.67982031178,6593.78888182371,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3917.16228298957
2051,8820.42669651294,5675.12274640502,6555.44803148863,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3907.45588794937
2052,8747.29409825416,5764.20958366884,6512.25525462118,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3895.03179681072
2053,8674.05393253816,5855.4422209408,6309.72227405455,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3786.27754145233
2054,8595.20676718779,5948.59374930025,5623.66795140957,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,3384.08837573779
2055,8516.41235567561,6043.13664367595,4917.62223949132,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,2967.40878342847
2056,8460.57430271085,6141.01188981502,4588.62683529403,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,2777.38664625459
2057,8336.57126067214,6182.69708454898,4009.52785356948,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,2430.13830457844
2058,8197.85302452395,6005.90316384273,4184.02115653531,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,2526.48271424841
2059,8202.94915386862,6113.60172894554,3396.16796309242,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,2056.26196748983
2060,8202.74713308462,6213.75935162711,2640.603290554,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,1602.74484656969
2061,8143.5907626952,6307.05230122867,2596.53996281735,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,1581.13991489397
2062,8082.98731834036,6400.60087788614,2552.36126229081,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,1559.29427813762
2063,8017.58587091602,6494.63152706333,2507.80529067915,294.125637016443,1276.08416057798,1258.19206556734,28367.8388244675,28748.3786317885,27051.5044429034,24740.4840990986,22819.729784501,26418.3154846765,1537.0525728866
