Year,Food.crops,Fodder.crops,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,GF.milk
2020,82.624,22.584,2084.507,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,1301.909
2021,83.894623599616,23.32469874,1890.1450659116,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,1184.75407055209
2022,85.159505492224,24.048053893944,1699.02925536303,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,1068.76478319489
2023,86.433319121856,24.749773214544,1511.99330236557,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,954.469518997932
2024,87.470491336064,24.346856813184,1432.93543940471,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,903.629637957319
2025,88.402933416448,23.739447305472,1375.78881966168,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,865.900321646864
2026,89.161500972864,23.310304195248,1293.78678650699,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,813.358245363202
2027,89.87692186336,22.373945515896,1263.54093596515,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,791.591706906742
2028,90.672652290368,21.863386362984,1195.26782861667,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,747.549311475841
2029,91.46227358144,21.368737615488,1128.68433092408,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,704.687957115289
2030,91.991668766784,20.895049846248,1063.13627456262,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,662.618928949229
2031,91.881232950016,19.848494571456,1055.91601966672,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,655.142405360478
2032,92.093194246144,19.898844921936,984.232731823984,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,611.401479977617
2033,92.300267919552,19.95423389832,997.426037303031,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,620.991859831399
2034,92.501419269888,20.01634949652,1010.2929756901,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,630.408350209596
2035,92.682905860352,20.08933895196,1022.10243533805,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,639.206825687402
2036,92.772631310528,20.477327577744,1002.15884791132,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,629.189335057535
2037,92.869299820672,20.925847805136,975.405884847977,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,614.982495250109
2038,92.951007768384,21.375110617032,949.74981229761,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,601.325360479753
2039,93.013367158272,21.822098339352,925.835163993634,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,588.615368412624
2040,93.058547448704,22.27472634792,903.302070647569,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,576.655822731275
2041,92.754178479488,21.870106796784,959.647812378665,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,612.417458515401
2042,92.55676933536,22.08642976368,959.3528650607,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,613.976973645413
2043,92.34278970016,22.312757532912,960.291047464218,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,616.318381471191
2044,92.121897575872,22.593909949536,958.295667730017,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,616.905822340626
2045,91.880966735488,22.833110869776,962.50803739111,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,621.303488675366
2046,91.558436184832,23.265053763648,945.581805114491,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,612.707945659117
2047,91.184113192896,23.679219481248,932.783284416174,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,606.62557913447
2048,90.804392622912,24.06364970424,924.760164973171,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,603.469150236512
2049,90.283926943744,24.234069381264,938.51142210288,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,613.783676612365
2050,89.738179477312,24.301083110304,963.587134552335,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,631.162413298578
2051,89.022870294464,24.668132325552,957.984173595486,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,629.598445639786
2052,88.284757052864,25.055367278088,951.672171751601,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,627.596583492662
2053,87.545558131904,25.45192940004,922.07489680225,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,610.073286736816
2054,86.749768876608,25.85683240296,821.817954102091,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,545.269567203627
2055,85.954511967744,26.267783265576,718.639558165376,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,478.131043127108
2056,85.39094927968,26.693218918608,670.561623646971,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,447.513258915345
2057,84.139410419456,26.874412518672,585.934660460974,0.025,166.404,75.283,1435.015,1502.984,1329.516,1239.574,1228.717,1315.761,391.562015441464
