Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2020,1023.06122,663.283223,1213.839484,1885.081546,47.793736,267.429248,96.749359,2112.504958,2167.731039,1990.433503,1698.965729,2608.546718,1637.789495,9696.828
SSP3,2021,1038.794248,685.0372545,1104.609669,1709.314281,47.89345665,267.9872336,96.95122455,2083.042054,2137.497902,1994.586502,1702.510586,2613.989397,1614.947402,9561.587269
SSP3,2022,1054.456182,706.2819117,996.4666447,1536.482581,47.9931773,268.5452193,97.15309011,2053.438103,2107.120031,1998.7395,1706.055443,2619.432076,1591.995958,9425.699107
SSP3,2023,1070.22871,726.8911329,889.9030489,1367.340418,48.09289795,269.1032049,97.35495566,2023.693106,2076.597427,2002.892499,1709.6003,2624.874756,1568.935163,9289.163513
SSP3,2024,1083.071112,715.0576362,842.502305,1295.846046,48.1926186,269.6611906,97.55682121,1993.807063,2045.930089,2007.045498,1713.145158,2630.317435,1545.765017,9151.980487
SSP3,2025,1094.616733,697.2182572,807.3252429,1244.166662,48.29233925,270.2191762,97.75868677,1963.779973,2015.118017,2011.198496,1716.690015,2635.760114,1522.485521,9014.150031
SSP3,2026,1104.009416,682.8199285,762.9863691,1177.182426,48.32651235,270.4103914,97.82786374,1930.99274,1981.473645,2012.621681,1717.904796,2637.625257,1497.066131,8863.649952
SSP3,2027,1112.867851,657.1140052,738.0433418,1142.657569,48.36068546,270.6016065,97.8970407,1898.157172,1947.779674,2014.044865,1719.119577,2639.490399,1471.609269,8712.928007
SSP3,2028,1122.72069,638.6736683,705.8825773,1094.722386,48.39485856,270.7928217,97.96621767,1865.273269,1914.036105,2015.468049,1720.334358,2641.355542,1446.114933,8561.984195
SSP3,2029,1132.497884,619.0003974,679.2030227,1055.167505,48.42903166,270.9840369,98.03539464,1832.341031,1880.242937,2016.891233,1721.549139,2643.220685,1420.583123,8410.818515
SSP3,2030,1139.052925,599.904419,653.3468603,1016.752058,48.46320476,271.175252,98.10457161,1799.360458,1846.400171,2018.314417,1722.763921,2645.085827,1395.013841,8259.430968
SSP3,2031,1137.685494,577.4251888,625.0264387,977.0981916,48.45613447,271.1356903,98.09025914,1764.829417,1810.966403,2018.019965,1722.512587,2644.699936,1368.242507,8100.926457
SSP3,2032,1140.310027,568.2652143,611.6807446,955.0855628,48.44906417,271.0961285,98.07594666,1730.308376,1775.542897,2017.725514,1722.261253,2644.314044,1341.478926,7942.467849
SSP3,2033,1142.87404,570.4819467,619.1349765,964.5534225,48.44199387,271.0565668,98.06163418,1695.797336,1740.129653,2017.431062,1722.009919,2643.928153,1314.723098,7784.055145
SSP3,2034,1145.364723,572.831396,626.5931377,973.9959789,48.43492358,271.017005,98.04732171,1661.296296,1704.726671,2017.13661,1721.758584,2643.542261,1287.975023,7625.688344
SSP3,2035,1147.611914,575.2752637,634.0558386,983.392017,48.42785328,270.9774432,98.03300923,1626.805256,1669.333951,2016.842158,1721.50725,2643.156369,1261.234701,7467.367447
SSP3,2036,1148.722906,580.2101944,641.5342576,991.1085399,48.39043962,270.7680956,97.95727238,1591.326371,1632.92756,2015.284017,1720.177274,2641.11436,1233.728519,7304.512139
SSP3,2037,1149.919868,585.3111813,649.3881923,999.0176427,48.35302597,270.558748,97.88153552,1555.900404,1596.575472,2013.725875,1718.847299,2639.07235,1206.263364,7141.899737
SSP3,2038,1150.931587,590.5792817,657.4854412,1007.237739,48.31561231,270.3494003,97.80579867,1520.527356,1560.277685,2012.167734,1717.517323,2637.030341,1178.839236,6979.530242
